,AWAY_TEAM_ABBREVIATION,GAME_ID,AWAY_STL,AWAY_BLK,AWAY_PF,AWAY_PLUS_MINUS,HOME_TEAM_ABBREVIATION,HOME_STL,HOME_BLK,HOME_PF,HOME_PLUS_MINUS,HOME_OFF_RATING,HOME_DEF_RATING,HOME_AST_TOV,HOME_AST_RATIO,HOME_OREB_PCT,HOME_DREB_PCT,HOME_REB_PCT,HOME_TM_TOV_PCT,HOME_TS_PCT,HOME_PACE,HOME_PIE,AWAY_OFF_RATING,AWAY_DEF_RATING,AWAY_AST_TOV,AWAY_AST_RATIO,AWAY_OREB_PCT,AWAY_DREB_PCT,AWAY_REB_PCT,AWAY_TM_TOV_PCT,AWAY_TS_PCT,AWAY_E_PACE,AWAY_PACE,AWAY_PIE,HomeWin
0,NYK,21600001,6,6,22,-29,CLE,12,5,22,29,115.8,87.1,2.07,20.9,0.353,0.729,0.555,14.9,0.572,101.0,0.703,87.1,115.8,0.94,13.0,0.271,0.647,0.445,17.8,0.459,103.58,101.0,0.297,1
1,UTA,21600002,9,5,19,-9,POR,5,3,18,9,122.8,114.3,1.69,18.4,0.222,0.738,0.5,14.1,0.667,91.5,0.548,114.3,122.8,1.36,15.6,0.262,0.778,0.5,15.4,0.584,94.86,91.5,0.452,1
2,SAS,21600003,13,3,19,29,GSW,11,6,19,-29,99.0,129.0,1.5,18.1,0.208,0.528,0.376,15.8,0.538,100.5,0.4,129.0,99.0,1.79,16.8,0.472,0.792,0.624,14.0,0.589,101.68,100.5,0.6,0
3,MIA,21600004,5,7,22,12,ORL,5,4,15,-12,112.5,102.1,2.25,18.9,0.415,0.679,0.55,12.5,0.519,95.0,0.57,102.1,112.5,1.82,15.1,0.321,0.585,0.45,11.7,0.474,98.68,95.0,0.43,0
4,DAL,21600005,8,8,27,-9,IND,11,6,23,9,105.2,112.1,1.73,17.0,0.246,0.784,0.491,13.0,0.541,104.6,0.429,112.1,105.2,1.88,19.5,0.216,0.754,0.509,13.8,0.602,105.46,104.6,0.571,1
5,BOS,21600006,13,9,20,5,BKN,8,3,19,-5,112.5,117.3,1.38,15.3,0.345,,,15.4,0.553,104.0,0.408,117.3,112.5,1.89,23.7,,0.655,,18.3,0.629,105.36,104.0,0.592,0
6,DET,21600007,8,0,24,-18,TOR,8,0,22,18,93.8,112.4,1.21,13.6,0.231,0.7,0.461,14.4,0.486,97.0,0.39,112.4,93.8,1.42,13.3,0.3,0.769,0.539,12.4,0.552,98.22,97.0,0.61,1
7,CHA,21600008,5,10,22,11,MIL,4,5,22,-11,111.5,102.1,2.7,19.8,0.288,0.75,0.528,10.4,0.537,95.0,0.571,102.1,111.5,2.88,17.5,0.25,0.712,0.472,8.5,0.476,98.68,95.0,0.429,0
8,MEM,21600009,6,11,25,4,MIN,6,5,23,-4,109.7,107.7,1.46,15.3,0.333,0.648,0.5,14.0,0.555,92.0,0.536,107.7,109.7,1.82,15.4,0.352,0.667,0.5,12.1,0.496,94.32,92.0,0.464,0
9,NOP,21600010,16,5,29,-5,DEN,7,4,22,5,96.4,92.7,0.72,12.8,0.292,0.891,0.612,22.5,0.549,110.5,0.501,92.7,96.4,2.82,21.3,0.109,0.708,0.388,10.0,0.493,110.48,110.5,0.499,1
10,OKC,21600011,7,3,23,6,PHI,5,10,22,-6,103.0,97.0,1.9,14.1,0.305,,,10.0,0.488,100.0,0.514,97.0,103.0,1.5,16.2,,0.695,,14.0,0.511,103.22,100.0,0.486,0
11,SAC,21600012,5,5,20,19,PHX,6,3,29,-19,96.9,116.5,1.11,15.8,0.267,0.696,0.484,18.6,0.529,97.0,0.383,116.5,96.9,1.71,17.7,0.304,0.733,0.516,14.4,0.58,99.16,97.0,0.617,0
12,HOU,21600013,10,1,23,-6,LAL,10,4,24,6,112.9,118.8,1.93,20.4,0.283,0.674,0.478,14.9,0.582,101.0,0.503,118.8,112.9,1.31,15.5,0.326,0.717,0.522,15.8,0.608,103.28,101.0,0.497,1
13,ATL,21600014,13,7,19,15,WAS,14,4,20,-15,110.7,97.1,1.33,19.3,0.362,0.707,0.552,20.4,0.594,102.5,0.603,97.1,110.7,1.32,17.1,0.293,0.638,0.448,18.6,0.486,105.92,102.5,0.397,0
14,CHI,21600015,5,1,21,6,BOS,6,6,25,-6,101.0,107.1,1.83,18.2,,0.627,,12.2,0.572,98.0,0.488,107.1,101.0,2.08,17.6,0.373,,,12.2,0.499,97.38,98.0,0.512,0
15,SAC,21600016,7,0,21,-8,SAS,10,8,26,8,101.1,110.9,1.38,17.6,0.289,0.778,0.533,17.2,0.542,92.5,0.448,110.9,101.1,2.3,18.6,0.222,0.711,0.467,10.9,0.561,94.3,92.5,0.552,1
16,LAC,21600017,10,4,25,8,POR,4,4,34,-8,112.9,103.9,1.5,9.1,0.3,0.72,0.491,7.9,0.512,101.5,0.52,103.9,112.9,1.29,13.7,0.28,0.7,0.509,13.7,0.535,104.16,101.5,0.48,0
17,TOR,21600018,9,3,20,-3,CLE,8,3,15,3,96.9,92.9,1.11,15.8,0.234,0.618,0.441,18.6,0.53,97.5,0.546,92.9,96.9,0.67,9.4,0.382,0.766,0.559,18.4,0.465,97.8,97.5,0.454,1
18,IND,21600019,7,6,22,-9,BKN,6,4,23,9,102.0,93.1,1.25,15.2,0.26,0.688,0.5,15.8,0.538,101.0,0.57,93.1,102.0,1.69,15.5,0.313,0.74,0.5,12.9,0.44,102.8,101.0,0.43,1
19,ORL,21600020,8,3,13,-26,DET,8,4,11,26,114.9,86.3,2.25,19.8,0.333,0.73,0.559,12.8,0.553,94.5,0.669,86.3,114.9,2.22,15.5,0.27,0.667,0.441,9.5,0.409,97.96,94.5,0.331,1
20,PHX,21600021,11,3,29,-3,OKC,11,3,24,3,99.1,96.5,0.59,8.8,0.35,0.789,0.564,19.3,0.501,103.25,0.519,96.5,99.1,1.0,10.9,0.211,0.65,0.436,13.2,0.509,107.23,103.25,0.481,1
21,MIA,21600022,2,4,23,-6,CHA,10,9,20,6,100.0,94.8,2.5,15.3,0.288,0.667,0.474,8.2,0.473,96.5,0.601,94.8,100.0,0.95,14.2,0.333,0.712,0.526,20.8,0.48,100.68,96.5,0.399,1
22,HOU,21600023,6,1,22,8,DAL,11,2,21,-8,104.3,112.8,1.3,11.4,0.196,0.75,0.453,10.6,0.541,94.0,0.457,112.8,104.3,1.11,17.0,0.25,0.804,0.547,20.2,0.634,96.1,94.0,0.543,0
23,LAL,21600024,6,7,29,-7,UTA,4,7,18,7,95.7,105.5,0.94,12.7,0.345,0.688,0.505,18.3,0.477,92.0,0.412,105.5,95.7,1.0,11.6,0.313,0.655,0.495,15.4,0.518,96.42,92.0,0.588,1
24,NOP,21600025,8,5,24,-8,GSW,8,2,22,8,111.9,104.6,2.29,21.4,0.2,0.724,0.481,12.8,0.59,109.0,0.557,104.6,111.9,1.93,18.8,0.276,0.8,0.519,13.8,0.518,110.72,109.0,0.443,1
25,ATL,21600026,11,7,14,32,PHI,9,5,20,-32,103.0,72.0,2.58,22.4,0.22,0.843,0.535,11.9,0.547,100.5,0.742,72.0,103.0,0.8,13.1,0.157,0.78,0.465,20.0,0.416,101.86,100.5,0.258,0
26,BOS,21600027,4,6,26,6,CHA,8,6,17,-6,111.8,105.4,1.92,19.8,0.222,0.824,0.542,14.0,0.588,93.0,0.511,105.4,111.8,2.44,17.7,0.176,0.778,0.458,9.7,0.524,97.0,93.0,0.489,0
27,MEM,21600028,3,2,30,-7,NYK,4,4,25,7,107.2,114.4,1.58,14.8,0.275,0.75,0.495,12.4,0.534,97.0,0.419,114.4,107.2,1.85,18.4,0.25,0.725,0.505,13.4,0.596,99.3,97.0,0.581,1
28,CLE,21600029,8,6,27,6,ORL,6,5,23,-6,109.4,103.1,1.89,13.4,0.25,0.596,0.417,9.4,0.519,96.0,0.498,103.1,109.4,1.0,15.3,0.404,0.75,0.583,21.9,0.519,100.32,96.0,0.502,0
29,IND,21600030,8,7,16,-17,CHI,8,6,14,17,124.2,107.4,2.83,24.1,0.381,0.761,0.58,12.6,0.619,94.5,0.572,107.4,124.2,2.62,24.5,0.239,0.619,0.42,13.8,0.549,95.6,94.5,0.428,1
30,BKN,21600031,12,6,22,-2,MIL,14,5,23,2,106.9,107.8,1.28,16.7,0.245,0.735,0.49,17.8,0.561,101.5,0.475,107.8,106.9,1.79,18.2,0.265,0.755,0.51,13.7,0.558,103.94,101.5,0.525,1
31,SAS,21600032,6,7,15,19,NOP,6,5,19,-19,84.0,106.5,1.4,12.0,0.211,0.788,0.486,10.6,0.427,93.0,0.365,106.5,84.0,2.1,16.9,0.212,0.789,0.514,10.9,0.526,96.36,93.0,0.635,0
32,POR,21600033,10,8,30,2,DEN,10,5,21,-2,98.3,100.0,1.12,12.4,0.343,0.836,0.566,14.8,0.482,104.15,0.5,100.0,98.3,1.44,15.7,0.164,0.657,0.434,13.9,0.536,107.05,104.15,0.5,0
33,SAC,21600034,6,5,24,3,MIN,6,5,25,-3,117.0,117.8,1.36,16.3,0.27,0.612,0.465,15.9,0.616,89.0,0.522,117.8,117.0,1.85,18.0,0.388,0.73,0.535,14.4,0.552,94.32,89.0,0.478,0
34,UTA,21600035,8,2,22,-13,LAC,8,4,14,13,96.7,82.4,1.31,14.0,,0.83,,14.3,0.479,91.0,0.579,82.4,96.7,1.0,15.7,0.17,,,19.8,0.476,90.26,91.0,0.421,1
35,PHX,21600036,10,6,26,-6,GSW,6,5,23,6,105.0,98.0,1.69,19.2,0.226,0.722,0.477,15.8,0.543,101.5,0.531,98.0,105.0,1.58,14.4,0.278,0.774,0.523,11.8,0.495,104.26,101.5,0.469,1
36,MIA,21600037,7,6,24,-7,SAS,4,5,26,7,103.1,112.8,1.58,15.5,0.244,0.646,0.452,12.5,0.541,95.0,0.482,112.8,103.1,1.33,15.6,0.354,0.756,0.548,16.0,0.567,95.94,95.0,0.518,1
37,MIL,21600038,10,4,16,-15,DET,8,4,14,15,104.3,88.3,1.44,16.9,0.404,0.768,0.593,17.0,0.506,94.0,0.588,88.3,104.3,1.83,17.3,0.232,0.596,0.407,12.8,0.445,95.98,94.0,0.412,1
38,MEM,21600039,9,2,26,9,WAS,8,4,23,-9,112.0,105.1,1.71,17.5,0.308,0.755,0.525,14.0,0.563,89.66,0.534,105.1,112.0,1.36,14.6,0.245,0.692,0.475,14.3,0.531,93.03,89.66,0.466,0
39,OKC,21600040,15,6,22,17,LAL,15,2,18,-17,89.7,107.6,0.91,14.3,0.291,0.692,0.486,20.6,0.492,106.0,0.402,107.6,89.7,1.45,19.1,0.308,0.709,0.514,19.0,0.551,110.52,106.0,0.598,0
40,HOU,21600041,5,4,21,1,DAL,8,3,17,-1,98.9,98.9,1.31,13.6,0.291,0.74,0.505,14.0,0.485,93.5,0.506,98.9,98.9,0.94,13.0,0.26,0.709,0.495,18.1,0.515,96.52,93.5,0.494,0
41,TOR,21600042,7,9,28,3,DEN,2,9,18,-3,110.9,114.1,1.75,11.8,0.294,0.692,0.495,8.7,0.529,92.0,0.5,114.1,110.9,2.0,13.0,0.308,0.706,0.505,8.7,0.53,94.7,92.0,0.5,0
42,CHI,21600043,9,9,22,30,BKN,12,3,15,-30,85.4,115.7,0.93,10.4,,,,14.6,0.418,102.5,0.313,115.7,85.4,1.3,18.2,,,,19.6,0.609,104.08,102.5,0.687,0
43,ATL,21600044,11,6,20,11,SAC,10,6,34,-11,114.0,101.1,1.85,17.6,0.393,0.744,0.545,14.0,0.532,93.5,0.534,101.1,114.0,1.37,20.3,0.256,0.607,0.455,20.2,0.57,96.02,93.5,0.466,0
44,PHX,21600045,11,0,33,-18,LAC,8,4,23,18,107.4,90.7,1.31,15.7,0.182,0.759,0.5,14.8,0.6,108.0,0.644,90.7,107.4,0.9,13.8,0.241,0.818,0.5,19.4,0.502,108.18,108.0,0.356,1
45,PHI,21600046,5,8,20,-2,ORL,7,6,15,2,110.8,108.6,2.9,20.8,0.315,0.698,0.485,10.8,0.513,93.0,0.499,108.6,110.8,1.75,21.2,0.302,0.685,0.515,17.2,0.574,97.76,93.0,0.501,1
46,CLE,21600047,4,2,21,8,HOU,5,2,25,-8,132.0,125.0,2.0,17.0,0.375,0.74,0.578,11.3,0.662,96.5,0.553,125.0,132.0,4.29,21.7,0.26,0.625,0.422,7.3,0.594,96.32,96.5,0.447,0
47,IND,21600048,10,8,20,7,LAL,8,2,25,-7,109.5,104.9,1.12,14.0,0.306,0.68,0.495,16.2,0.576,104.0,0.571,104.9,109.5,0.7,10.4,0.32,0.694,0.505,19.4,0.54,107.38,104.0,0.429,0
48,MIA,21600049,10,9,21,12,SAC,4,4,23,-12,104.9,91.4,1.41,17.2,0.182,0.737,0.464,16.5,0.547,94.19,0.588,91.4,104.9,0.8,9.4,0.263,0.818,0.536,14.3,0.476,98.1,94.19,0.412,0
49,DET,21600050,7,5,16,13,NYK,6,9,20,-13,107.4,92.7,1.73,14.8,0.294,0.792,0.548,11.6,0.519,95.5,0.559,92.7,107.4,1.5,14.7,0.208,0.706,0.452,12.5,0.481,97.92,95.5,0.441,0
50,MIL,21600051,9,5,25,4,NOP,13,5,17,-4,113.6,109.7,1.88,20.5,,0.765,,15.5,0.584,103.0,0.519,109.7,113.6,1.77,16.9,0.235,,,12.6,0.565,104.64,103.0,0.481,0
51,MEM,21600052,17,4,22,-36,MIN,10,5,22,36,80.8,118.4,0.48,8.4,,0.684,,21.2,0.456,98.5,0.246,118.4,80.8,1.38,21.0,0.316,,,21.4,0.658,99.94,98.5,0.754,1
52,SAS,21600053,6,5,15,-15,UTA,5,8,20,15,100.0,117.8,1.9,16.6,,0.868,,11.0,0.534,90.5,0.439,117.8,100.0,2.0,18.8,0.132,,,12.2,0.632,92.08,90.5,0.561,1
53,GSW,21600054,14,4,19,23,POR,12,4,17,-23,119.8,99.0,2.25,23.8,0.293,0.816,0.578,15.1,0.641,105.5,0.634,99.0,119.8,1.28,16.9,0.184,0.707,0.422,17.1,0.546,107.68,105.5,0.366,0
54,WAS,21600055,8,5,20,-10,TOR,16,2,24,10,115.3,107.3,1.62,17.2,,0.8,,13.3,0.642,97.0,0.533,107.3,115.3,1.0,16.9,0.2,,,21.9,0.624,97.28,97.0,0.467,1
55,PHI,21600056,8,2,24,-16,CHA,8,3,17,16,113.5,96.9,1.67,19.2,0.279,0.685,0.505,15.6,0.603,96.0,0.628,96.9,113.5,1.21,17.1,0.315,0.721,0.495,19.8,0.502,100.02,96.0,0.372,1
56,BKN,21600057,10,3,23,8,DET,11,6,18,-8,110.1,102.0,1.42,20.9,0.167,,,19.2,0.653,99.0,0.567,102.0,110.1,1.62,16.0,,0.833,,13.1,0.519,98.86,99.0,0.433,0
57,HOU,21600058,12,8,21,19,NYK,10,6,22,-19,119.2,98.0,1.25,17.1,0.44,0.75,0.598,20.2,0.585,100.0,0.618,98.0,119.2,1.13,13.8,0.25,0.56,0.402,15.8,0.516,103.44,100.0,0.382,0
58,ATL,21600059,10,1,19,-7,LAL,11,9,25,7,113.7,119.4,1.67,20.6,0.333,0.698,0.505,17.6,0.593,102.5,0.469,119.4,113.7,1.6,17.4,0.302,0.667,0.495,14.6,0.622,104.28,102.5,0.531,1
59,NOP,21600060,8,9,26,-6,MEM,12,5,22,6,87.3,81.4,1.0,14.0,0.375,0.808,0.569,19.6,0.433,92.38,0.55,81.4,87.3,0.77,13.4,0.192,0.625,0.431,21.6,0.471,97.29,92.38,0.45,1
